Date,P_av,P_jdsp,P_inmet_aut,P_inmet_conv,P_maplu_esc,P_average,Pacum_P_av,Pacum_P_jdsp,Pacum_P_inmet_aut,Pacum_P_inmet_conv,Pacum_P_maplu_esc,Pacum_P_average
2016-02-15,0.0,0.0,0.0,0.0,11.2,2.2399999999999998,426.8,437.00000000000006,477.4,490.7999999999999,454.2,457.2399999999999
2016-02-16,58.0,54.0,45.4,46.0,7.0,42.08,484.8,491.00000000000006,522.8,536.8,461.2,499.3199999999999
2016-02-17,0.0,0.0,0.0,0.0,3.4000000000000004,0.68,484.8,491.00000000000006,522.8,536.8,464.59999999999997,499.9999999999999
2016-02-18,43.2,13.6,14.6,5.0,4.6000000000000005,16.2,528.0,504.6000000000001,537.4,541.8,469.2,516.1999999999999
2016-02-19,0.6,1.8,0.0,9.0,0.0,2.2800000000000002,528.6,506.4000000000001,537.4,550.8,469.2,518.4799999999999
2016-02-20,3.2,0.0,0.0,0.0,0.0,0.64,531.8000000000001,506.4000000000001,537.4,550.8,469.2,519.1199999999999
2016-02-21,1.0,8.2,3.0,0.0,7.0,3.84,532.8000000000001,514.6000000000001,540.4,550.8,476.2,522.9599999999999
2016-02-22,0.2,2.2,0.2,2.4,0.4,1.08,533.0000000000001,516.8000000000002,540.6,553.1999999999999,476.59999999999997,524.04
2016-02-23,20.8,0.0,1.6,0.0,0.2,4.5200000000000005,553.8000000000001,516.8000000000002,542.2,553.1999999999999,476.79999999999995,528.56
2016-02-24,22.4,6.0,1.7999999999999998,1.5,11.6,8.66,576.2,522.8000000000002,544.0,554.6999999999999,488.4,537.2199999999999
2016-02-25,3.0,3.8,4.0,5.3,4.4,4.1,579.2,526.6000000000001,548.0,559.9999999999999,492.79999999999995,541.3199999999999
2016-02-26,0.6000000000000001,14.4,34.8,1.7,5.6000000000000005,11.42,579.8000000000001,541.0000000000001,582.8,561.6999999999999,498.4,552.7399999999999
2016-02-27,1.4,8.6,5.4,37.8,1.6,10.959999999999999,581.2,549.6000000000001,588.1999999999999,599.4999999999999,500.0,563.6999999999999
2016-02-28,22.200000000000003,7.2,26.2,0.4,6.800000000000001,12.559999999999999,603.4000000000001,556.8000000000002,614.4,599.8999999999999,506.8,576.2599999999999
2016-02-29,9.4,1.4,1.8,27.0,2.0,8.32,612.8000000000001,558.2000000000002,616.1999999999999,626.8999999999999,508.8,584.5799999999999
2016-03-01,2.0,5.0,0.2,1.2,4.0,2.48,614.8000000000001,563.2000000000002,616.4,628.0999999999999,512.8,587.06
2016-03-02,4.2,0.0,0.4,0.0,0.2,0.9600000000000002,619.0000000000001,563.2000000000002,616.8,628.0999999999999,513.0,588.02
2016-03-03,1.0,3.0,4.8,0.0,7.0,3.16,620.0000000000001,566.2000000000002,621.5999999999999,628.0999999999999,520.0,591.18
2016-03-04,26.2,11.6,0.2,0.0,15.0,10.6,646.2000000000002,577.8000000000002,621.8,628.0999999999999,535.0,601.78
2016-03-05,1.0,0.2,0.0,0.0,3.6,0.96,647.2000000000002,578.0000000000002,621.8,628.0999999999999,538.6,602.74
2016-03-06,1.0,0.2,0.0,0.0,0.4,0.32,648.2000000000002,578.2000000000003,621.8,628.0999999999999,539.0,603.0600000000001
2016-03-07,0.0,4.000000000000001,0.0,0.0,0.0,0.8000000000000002,648.2000000000002,582.2000000000003,621.8,628.0999999999999,539.0,603.86
2016-03-08,0.0,0.0,0.0,0.0,0.0,0.0,648.2000000000002,582.2000000000003,621.8,628.0999999999999,539.0,603.86
2016-03-09,0.0,0.0,0.0,0.0,0.0,0.0,648.2000000000002,582.2000000000003,621.8,628.0999999999999,539.0,603.86
2016-03-10,37.2,14.0,0.0,0.0,37.6,17.76,685.4000000000002,596.2000000000003,621.8,628.0999999999999,576.6,621.62
2016-03-11,46.8,68.8,1.2,0.0,24.6,28.28,732.2000000000002,665.0000000000002,623.0,628.0999999999999,601.2,649.9
2016-03-12,0.0,0.0,0.0,0.0,0.0,0.0,732.2000000000002,665.0000000000002,623.0,628.0999999999999,601.2,649.9
2016-03-13,0.0,2.2,0.0,0.0,0.0,0.44000000000000006,732.2000000000002,667.2000000000003,623.0,628.0999999999999,601.2,650.34
2016-03-14,0.0,0.0,0.0,0.0,0.0,0.0,732.2000000000002,667.2000000000003,623.0,628.0999999999999,601.2,650.34
2016-03-15,1.4,0.2,0.0,0.0,10.4,2.4,733.6000000000001,667.4000000000003,623.0,628.0999999999999,611.6,652.74
2016-03-16,13.6,13.8,0.0,0.0,14.4,8.36,747.2000000000002,681.2000000000003,623.0,628.0999999999999,626.0,661.1
2016-03-17,18.4,12.0,0.0,0.0,24.6,11.0,765.6000000000001,693.2000000000003,623.0,628.0999999999999,650.6,672.1
2016-03-18,0.0,0.6000000000000001,0.6,0.0,0.2,0.28,765.6000000000001,693.8000000000003,623.6,628.0999999999999,650.8000000000001,672.38
2016-03-19,0.0,0.0,0.0,0.0,0.0,0.0,765.6000000000001,693.8000000000003,623.6,628.0999999999999,650.8000000000001,672.38
2016-03-20,0.0,0.0,0.0,0.0,0.0,0.0,765.6000000000001,693.8000000000003,623.6,628.0999999999999,650.8000000000001,672.38
2016-03-21,0.0,0.0,0.0,0.0,0.0,0.0,765.6000000000001,693.8000000000003,623.6,628.0999999999999,650.8000000000001,672.38
2016-03-22,0.0,0.0,0.0,0.0,0.0,0.0,765.6000000000001,693.8000000000003,623.6,628.0999999999999,650.8000000000001,672.38
2016-03-23,18.6,0.0,0.0,0.0,9.2,5.5600000000000005,784.2000000000002,693.8000000000003,623.6,628.0999999999999,660.0000000000001,677.9399999999999
2016-03-24,0.4,0.0,0.0,0.0,0.2,0.12000000000000002,784.6000000000001,693.8000000000003,623.6,628.0999999999999,660.2000000000002,678.06
2016-03-25,4.2,0.0,0.0,0.0,0.0,0.8400000000000001,788.8000000000002,693.8000000000003,623.6,628.0999999999999,660.2000000000002,678.9
2016-03-26,0.4,0.0,0.0,0.0,0.2,0.12000000000000002,789.2000000000002,693.8000000000003,623.6,628.0999999999999,660.4000000000002,679.02
2016-03-27,5.4,0.0,0.0,0.0,0.6000000000000001,1.2,794.6000000000001,693.8000000000003,623.6,628.0999999999999,661.0000000000002,680.22
2016-03-28,0.2,0.0,0.0,0.0,0.2,0.08,794.8000000000002,693.8000000000003,623.6,628.0999999999999,661.2000000000003,680.3000000000001
2016-03-29,0.0,0.0,0.0,0.0,0.0,0.0,794.8000000000002,693.8000000000003,623.6,628.0999999999999,661.2000000000003,680.3000000000001
2016-03-30,0.0,0.0,0.0,0.0,0.0,0.0,794.8000000000002,693.8000000000003,623.6,628.0999999999999,661.2000000000003,680.3000000000001
2016-03-31,0.0,0.0,0.0,0.0,0.0,0.0,794.8000000000002,693.8000000000003,623.6,628.0999999999999,661.2000000000003,680.3000000000001
2016-04-01,0.0,0.0,0.0,0.0,0.4,0.08,794.8000000000002,693.8000000000003,623.6,628.0999999999999,661.6000000000003,680.3800000000001
2016-04-02,0.0,0.0,0.0,0.0,0.6000000000000001,0.12000000000000002,794.8000000000002,693.8000000000003,623.6,628.0999999999999,662.2000000000003,680.5000000000001
2016-04-03,0.0,0.0,0.0,3.8,0.0,0.76,794.8000000000002,693.8000000000003,623.6,631.8999999999999,662.2000000000003,681.2600000000001
2016-04-04,0.0,0.0,0.0,0.0,0.0,0.0,794.8000000000002,693.8000000000003,623.6,631.8999999999999,662.2000000000003,681.2600000000001
2016-04-05,0.0,0.0,0.0,0.0,0.0,0.0,794.8000000000002,693.8000000000003,623.6,631.8999999999999,662.2000000000003,681.2600000000001
2016-04-06,0.0,0.0,0.0,0.0,0.0,0.0,794.8000000000002,693.8000000000003,623.6,631.8999999999999,662.2000000000003,681.2600000000001
2016-04-07,0.0,0.0,0.0,0.0,0.0,0.0,794.8000000000002,693.8000000000003,623.6,631.8999999999999,662.2000000000003,681.2600000000001
2016-04-08,0.0,0.0,0.0,0.0,0.0,0.0,794.8000000000002,693.8000000000003,623.6,631.8999999999999,662.2000000000003,681.2600000000001
2016-04-09,0.0,0.0,0.0,0.0,0.0,0.0,794.8000000000002,693.8000000000003,623.6,631.8999999999999,662.2000000000003,681.2600000000001
2016-04-10,0.0,0.0,0.0,0.0,0.0,0.0,794.8000000000002,693.8000000000003,623.6,631.8999999999999,662.2000000000003,681.2600000000001
2016-04-11,0.0,0.0,0.0,0.0,0.0,0.0,794.8000000000002,693.8000000000003,623.6,631.8999999999999,662.2000000000003,681.2600000000001
2016-04-12,0.0,0.0,0.0,0.0,0.0,0.0,794.8000000000002,693.8000000000003,623.6,631.8999999999999,662.2000000000003,681.2600000000001
